scenario,region,year,sector,value
Low productivity,Reforming,2075,Agricultural labor,0.8026581063298305
Low productivity,Reforming,2080,Agricultural labor,0.7669986883328543
Low productivity,Reforming,2085,Agricultural labor,0.732306036767627
Low productivity,Reforming,2090,Agricultural labor,0.6977049792849619
Low productivity,Reforming,2095,Agricultural labor,0.6650288170582718
Low productivity,Reforming,2100,Agricultural labor,0.6333190643208759
Low productivity,Rest of Asia,2015,Agricultural labor,1
Low productivity,Rest of Asia,2020,Agricultural labor,1.0006579161864433
Low productivity,Rest of Asia,2025,Agricultural labor,0.986094465619391
Low productivity,Rest of Asia,2030,Agricultural labor,0.9683992963314719
Low productivity,Rest of Asia,2035,Agricultural labor,0.9593329681899968
Low productivity,Rest of Asia,2040,Agricultural labor,0.948247738518877
Low productivity,Rest of Asia,2045,Agricultural labor,0.9397570807884488
Low productivity,Rest of Asia,2050,Agricultural labor,0.9276711798698846
Low productivity,Rest of Asia,2055,Agricultural labor,0.9015213483980137
Low productivity,Rest of Asia,2060,Agricultural labor,0.8696351184018987
Low productivity,Rest of Asia,2065,Agricultural labor,0.8362339463521611
Low productivity,Rest of Asia,2070,Agricultural labor,0.799006315631247
Low productivity,Rest of Asia,2075,Agricultural labor,0.7609493487258594
Low productivity,Rest of Asia,2080,Agricultural labor,0.7228016791545642
Low productivity,Rest of Asia,2085,Agricultural labor,0.6855020064081071
Low productivity,Rest of Asia,2090,Agricultural labor,0.649232608060156
Low productivity,Rest of Asia,2095,Agricultural labor,0.6146394938259941
Low productivity,Rest of Asia,2100,Agricultural labor,0.581197709478365
High productivity,Africa,2015,Agricultural labor,1
High productivity,Africa,2020,Agricultural labor,1.0794515187622822
High productivity,Africa,2025,Agricultural labor,1.1325298160510961
High productivity,Africa,2030,Agricultural labor,1.1397497066341702
High productivity,Africa,2035,Agricultural labor,1.1599164966660847
High productivity,Africa,2040,Agricultural labor,1.1853540459083045
High productivity,Africa,2045,Agricultural labor,1.2189490673346897
High productivity,Africa,2050,Agricultural labor,1.2484559985564125
High productivity,Africa,2055,Agricultural labor,1.2529642572234618
High productivity,Africa,2060,Agricultural labor,1.2427053257727902
High productivity,Africa,2065,Agricultural labor,1.2211707790721462
High productivity,Africa,2070,Agricultural labor,1.1852668954880463
High productivity,Africa,2075,Agricultural labor,1.1404779090390715
High productivity,Africa,2080,Agricultural labor,1.087729133658531
High productivity,Africa,2085,Agricultural labor,1.0304119743755156
High productivity,Africa,2090,Agricultural labor,0.9701740069930663
High productivity,Africa,2095,Agricultural labor,0.909079862840805
High productivity,Africa,2100,Agricultural labor,0.8484130300985236
High productivity,China,2015,Agricultural labor,1
High productivity,China,2020,Agricultural labor,0.8352291938784672
High productivity,China,2025,Agricultural labor,0.725224434612422
High productivity,China,2030,Agricultural labor,0.6373767566021352
High productivity,China,2035,Agricultural labor,0.56536800957587
High productivity,China,2040,Agricultural labor,0.5067130844677378
High productivity,China,2045,Agricultural labor,0.4648824014052118
High productivity,China,2050,Agricultural labor,0.42770633823414667
High productivity,China,2055,Agricultural labor,0.3899966374426645
High productivity,China,2060,Agricultural labor,0.3574747101862176
High productivity,China,2065,Agricultural labor,0.32886291192265316
High productivity,China,2070,Agricultural labor,0.3041534243831009
High productivity,China,2075,Agricultural labor,0.2816300818645878
High productivity,China,2080,Agricultural labor,0.261850146684723
High productivity,China,2085,Agricultural labor,0.24371710892962548
High productivity,China,2090,Agricultural labor,0.22746455053552317
High productivity,China,2095,Agricultural labor,0.21288641329738364
High productivity,China,2100,Agricultural labor,0.1998573833451289
High productivity,Europe,2015,Agricultural labor,1
High productivity,Europe,2020,Agricultural labor,0.9556812383235727
High productivity,Europe,2025,Agricultural labor,0.917287795240242
High productivity,Europe,2030,Agricultural labor,0.8709166089854659
High productivity,Europe,2035,Agricultural labor,0.8307367062598864
High productivity,Europe,2040,Agricultural labor,0.7945729961990808
High productivity,Europe,2045,Agricultural labor,0.7646528174882975
High productivity,Europe,2050,Agricultural labor,0.7345436292994205
High productivity,Europe,2055,Agricultural labor,0.7035855302826504
High productivity,Europe,2060,Agricultural labor,0.6717132820585937
High productivity,Europe,2065,Agricultural labor,0.6407235951315525
High productivity,Europe,2070,Agricultural labor,0.6089626252707697
High productivity,Europe,2075,Agricultural labor,0.5760285767859115
High productivity,Europe,2080,Agricultural labor,0.5447389625555622
High productivity,Europe,2085,Agricultural labor,0.5146317793705307
High productivity,Europe,2090,Agricultural labor,0.4856126200640075
High productivity,Europe,2095,Agricultural labor,0.458141147210556
High productivity,Europe,2100,Agricultural labor,0.43176194321017647
High productivity,South Asia,2015,Agricultural labor,1
High productivity,South Asia,2020,Agricultural labor,0.9280154657862072
High productivity,South Asia,2025,Agricultural labor,0.8637012680391783
High productivity,South Asia,2030,Agricultural labor,0.8430336313350684
High productivity,South Asia,2035,Agricultural labor,0.8333787880756742
High productivity,South Asia,2040,Agricultural labor,0.8227793267376375
High productivity,South Asia,2045,Agricultural labor,0.8106880238699286
High productivity,South Asia,2050,Agricultural labor,0.7934867892183072
High productivity,South Asia,2055,Agricultural labor,0.7636014769834432
High productivity,South Asia,2060,Agricultural labor,0.7295514909198136
High productivity,South Asia,2065,Agricultural labor,0.6933939668218193
High productivity,South Asia,2070,Agricultural labor,0.656194444749918
High productivity,South Asia,2075,Agricultural labor,0.6193893895345121
High productivity,South Asia,2080,Agricultural labor,0.583512717473479
High productivity,South Asia,2085,Agricultural labor,0.5491707980473589
High productivity,South Asia,2090,Agricultural labor,0.5163635636280713
High productivity,South Asia,2095,Agricultural labor,0.48533632113990277
High productivity,South Asia,2100,Agricultural labor,0.45595056940511997
High productivity,Latin America,2015,Agricultural labor,1
High productivity,Latin America,2020,Agricultural labor,0.9857116386659613
High productivity,Latin America,2025,Agricultural labor,0.9686763978779219
High productivity,Latin America,2030,Agricultural labor,0.9382485998410103
High productivity,Latin America,2035,Agricultural labor,0.9104940652832253
High productivity,Latin America,2040,Agricultural labor,0.8878232063210529
High productivity,Latin America,2045,Agricultural labor,0.8729359098401086
High productivity,Latin America,2050,Agricultural labor,0.8549788192526778
High productivity,Latin America,2055,Agricultural labor,0.8276197996738546
High productivity,Latin America,2060,Agricultural labor,0.7931261655669894
High productivity,Latin America,2065,Agricultural labor,0.75769308255269
High productivity,Latin America,2070,Agricultural labor,0.7183952807510308
High productivity,Latin America,2075,Agricultural labor,0.6794141951546079
High productivity,Latin America,2080,Agricultural labor,0.6405002122967036
High productivity,Latin America,2085,Agricultural labor,0.6028199017268318
High productivity,Latin America,2090,Agricultural labor,0.5659778731837742
High productivity,Latin America,2095,Agricultural labor,0.5311451605417373
High productivity,Latin America,2100,Agricultural labor,0.49745019172416005
High productivity,Middle East,2015,Agricultural labor,1
High productivity,Middle East,2020,Agricultural labor,1.0268194829689572
High productivity,Middle East,2025,Agricultural labor,1.0572759118145392
High productivity,Middle East,2030,Agricultural labor,1.0724864064400697
High productivity,Middle East,2035,Agricultural labor,1.0880027677279733
High productivity,Middle East,2040,Agricultural labor,1.0984806494526995
High productivity,Middle East,2045,Agricultural labor,1.108716906784725
High productivity,Middle East,2050,Agricultural labor,1.1103008852834926
High productivity,Middle East,2055,Agricultural labor,1.099238901179796
High productivity,Middle East,2060,Agricultural labor,1.0794854110098713
High productivity,Middle East,2065,Agricultural labor,1.0511875715207613
High productivity,Middle East,2070,Agricultural labor,1.0133027774092356
High productivity,Middle East,2075,Agricultural labor,0.9725148651793148
High productivity,Middle East,2080,Agricultural labor,0.9284700253295901
High productivity,Middle East,2085,Agricultural labor,0.8839153224198517
High productivity,Middle East,2090,Agricultural labor,0.8387625226890038
High productivity,Middle East,2095,Agricultural labor,0.7933340686986917
High productivity,Middle East,2100,Agricultural labor,0.7468776775731777
High productivity,North America,2015,Agricultural labor,1
High productivity,North America,2020,Agricultural labor,0.9695074428428947
High productivity,North America,2025,Agricultural labor,0.9545590636354783
High productivity,North America,2030,Agricultural labor,0.9247564650928664
High productivity,North America,2035,Agricultural labor,0.9039419362668476
High productivity,North America,2040,Agricultural labor,0.8923506701937859
High productivity,North America,2045,Agricultural labor,0.8947294378112624
High productivity,North America,2050,Agricultural labor,0.8945760180879512
High productivity,North America,2055,Agricultural labor,0.8857187795334315
High productivity,North America,2060,Agricultural labor,0.8710548478450412
High productivity,North America,2065,Agricultural labor,0.8565928514454618
High productivity,North America,2070,Agricultural labor,0.8349521300535503
High productivity,North America,2075,Agricultural labor,0.8095935273344654
High productivity,North America,2080,Agricultural labor,0.78251624363744
High productivity,North America,2085,Agricultural labor,0.755258608530455
High productivity,North America,2090,Agricultural labor,0.7270209188716568
High productivity,North America,2095,Agricultural labor,0.6990851653216368
High productivity,North America,2100,Agricultural labor,0.6695786717937238
High productivity,Pacific OECD,2015,Agricultural labor,1
High productivity,Pacific OECD,2020,Agricultural labor,0.960819100040237
High productivity,Pacific OECD,2025,Agricultural labor,0.9018680816366056
High productivity,Pacific OECD,2030,Agricultural labor,0.8360896810877659
High productivity,Pacific OECD,2035,Agricultural labor,0.7800507222476585
High productivity,Pacific OECD,2040,Agricultural labor,0.7260579487585893
High productivity,Pacific OECD,2045,Agricultural labor,0.6828163600046481
High productivity,Pacific OECD,2050,Agricultural labor,0.6433712265017162
High productivity,Pacific OECD,2055,Agricultural labor,0.6069504975677755
High productivity,Pacific OECD,2060,Agricultural labor,0.57081666583802
High productivity,Pacific OECD,2065,Agricultural labor,0.5363660554835161
High productivity,Pacific OECD,2070,Agricultural labor,0.5033684930664734
High productivity,Pacific OECD,2075,Agricultural labor,0.47126213032383657
High productivity,Pacific OECD,2080,Agricultural labor,0.4407252257187351
High productivity,Pacific OECD,2085,Agricultural labor,0.4118237221770214
High productivity,Pacific OECD,2090,Agricultural labor,0.384184610094137
High productivity,Pacific OECD,2095,Agricultural labor,0.3581902549425987
High productivity,Pacific OECD,2100,Agricultural labor,0.33324092287171414
High productivity,Reforming,2015,Agricultural labor,1
High productivity,Reforming,2020,Agricultural labor,0.9976389224774965
High productivity,Reforming,2025,Agricultural labor,0.9595342033982056
High productivity,Reforming,2030,Agricultural labor,0.9057885706350834
High productivity,Reforming,2035,Agricultural labor,0.8645618274041335
High productivity,Reforming,2040,Agricultural labor,0.832535164486296
High productivity,Reforming,2045,Agricultural labor,0.8109984132297867
High productivity,Reforming,2050,Agricultural labor,0.7918572295570039
High productivity,Reforming,2055,Agricultural labor,0.7643929315848521
High productivity,Reforming,2060,Agricultural labor,0.7335997965835122
High productivity,Reforming,2065,Agricultural labor,0.7027372127428556
High productivity,Reforming,2070,Agricultural labor,0.6692374669085741
High productivity,Reforming,2075,Agricultural labor,0.6359573388435615
High productivity,Reforming,2080,Agricultural labor,0.6015901272655615
High productivity,Reforming,2085,Agricultural labor,0.5687455163330949
High productivity,Reforming,2090,Agricultural labor,0.5369112090734467
High productivity,Reforming,2095,Agricultural labor,0.5073014861193902
High productivity,Reforming,2100,Agricultural labor,0.47970862154105504
High productivity,Rest of Asia,2015,Agricultural labor,1
High productivity,Rest of Asia,2020,Agricultural labor,0.9418024659840001
High productivity,Rest of Asia,2025,Agricultural labor,0.8743019052659817
High productivity,Rest of Asia,2030,Agricultural labor,0.8197794295748626
High productivity,Rest of Asia,2035,Agricultural labor,0.7884698948323721
High productivity,Rest of Asia,2040,Agricultural labor,0.7611750830232893
High productivity,Rest of Asia,2045,Agricultural labor,0.7415296476583098
High productivity,Rest of Asia,2050,Agricultural labor,0.7217775894064679
High productivity,Rest of Asia,2055,Agricultural labor,0.6899031977841272
High productivity,Rest of Asia,2060,Agricultural labor,0.6553790529955199
High productivity,Rest of Asia,2065,Agricultural labor,0.6211176608751481
High productivity,Rest of Asia,2070,Agricultural labor,0.5850909634166506
High productivity,Rest of Asia,2075,Agricultural labor,0.54970451134155
High productivity,Rest of Asia,2080,Agricultural labor,0.5157112596914298
High productivity,Rest of Asia,2085,Agricultural labor,0.4834517658696846
High productivity,Rest of Asia,2090,Agricultural labor,0.4531042067454501
High productivity,Rest of Asia,2095,Agricultural labor,0.42484120495434763
High productivity,Rest of Asia,2100,Agricultural labor,0.3982476170252795
High Elas.,Africa,2015,Agricultural labor,1
High Elas.,Africa,2020,Agricultural labor,1.0887095553433652
High Elas.,Africa,2025,Agricultural labor,1.162734325029253
High Elas.,Africa,2030,Agricultural labor,1.1922559347659807
High Elas.,Africa,2035,Agricultural labor,1.2312874276419088
High Elas.,Africa,2040,Agricultural labor,1.2753290033640103
High Elas.,Africa,2045,Agricultural labor,1.3268205296048978
High Elas.,Africa,2050,Agricultural labor,1.3741758564062019
High Elas.,Africa,2055,Agricultural labor,1.3950129054596154
High Elas.,Africa,2060,Agricultural labor,1.3995143967014845
High Elas.,Africa,2065,Agricultural labor,1.3903235593279346
High Elas.,Africa,2070,Agricultural labor,1.3640473881179729
High Elas.,Africa,2075,Agricultural labor,1.325983599520334
High Elas.,Africa,2080,Agricultural labor,1.276909842629753
High Elas.,Africa,2085,Agricultural labor,1.2204960607488489
High Elas.,Africa,2090,Agricultural labor,1.158534706450434
High Elas.,Africa,2095,Agricultural labor,1.0936695255643012
High Elas.,Africa,2100,Agricultural labor,1.0275738265109056
High Elas.,China,2015,Agricultural labor,1
High Elas.,China,2020,Agricultural labor,0.8747402006865511
High Elas.,China,2025,Agricultural labor,0.7849214387821589
High Elas.,China,2030,Agricultural labor,0.7077024672943673
High Elas.,China,2035,Agricultural labor,0.6398413749243683
High Elas.,China,2040,Agricultural labor,0.5817310785353815
High Elas.,China,2045,Agricultural labor,0.5386762609759163
High Elas.,China,2050,Agricultural labor,0.4991699262215732
High Elas.,China,2055,Agricultural labor,0.4584220394291374
High Elas.,China,2060,Agricultural labor,0.4225355501605077
High Elas.,China,2065,Agricultural labor,0.39052630277391864
High Elas.,China,2070,Agricultural labor,0.3624679357981243
High Elas.,China,2075,Agricultural labor,0.33671116801175344
High Elas.,China,2080,Agricultural labor,0.3138726618772003
High Elas.,China,2085,Agricultural labor,0.292789529943088
High Elas.,China,2090,Agricultural labor,0.27377614161300085
High Elas.,China,2095,Agricultural labor,0.2567074180186346
High Elas.,China,2100,Agricultural labor,0.2413696681504064
High Elas.,Europe,2015,Agricultural labor,1
High Elas.,Europe,2020,Agricultural labor,0.9754932511151877
High Elas.,Europe,2025,Agricultural labor,0.954160763691729
High Elas.,Europe,2030,Agricultural labor,0.9214007644116002
High Elas.,Europe,2035,Agricultural labor,0.8910192053235362
High Elas.,Europe,2040,Agricultural labor,0.862507224557936
High Elas.,Europe,2045,Agricultural labor,0.8385744288337269
High Elas.,Europe,2050,Agricultural labor,0.8133853566615379
High Elas.,Europe,2055,Agricultural labor,0.7860847521820356
High Elas.,Europe,2060,Agricultural labor,0.7568193870545289
High Elas.,Europe,2065,Agricultural labor,0.7274565153109963
High Elas.,Europe,2070,Agricultural labor,0.6965266214574153
High Elas.,Europe,2075,Agricultural labor,0.6636303987558444
High Elas.,Europe,2080,Agricultural labor,0.6316098332354008
High Elas.,Europe,2085,Agricultural labor,0.6002321216887918
High Elas.,Europe,2090,Agricultural labor,0.5695229969821058
High Elas.,Europe,2095,Agricultural labor,0.5400499108109797
High Elas.,Europe,2100,Agricultural labor,0.5114066244854547
High Elas.,South Asia,2015,Agricultural labor,1
High Elas.,South Asia,2020,Agricultural labor,0.9645010668540767
High Elas.,South Asia,2025,Agricultural labor,0.9276663932919721
High Elas.,South Asia,2030,Agricultural labor,0.9230736379540563
High Elas.,South Asia,2035,Agricultural labor,0.9252527287797421
High Elas.,South Asia,2040,Agricultural labor,0.9241564631192403
High Elas.,South Asia,2045,Agricultural labor,0.9195920586155861
High Elas.,South Asia,2050,Agricultural labor,0.9081326931407845
High Elas.,South Asia,2055,Agricultural labor,0.8816431316435839
High Elas.,South Asia,2060,Agricultural labor,0.8491113720722148
High Elas.,South Asia,2065,Agricultural labor,0.8129402218139288
High Elas.,South Asia,2070,Agricultural labor,0.7744812409847831
High Elas.,South Asia,2075,Agricultural labor,0.7356147962434144
High Elas.,South Asia,2080,Agricultural labor,0.6969232704180279
High Elas.,South Asia,2085,Agricultural labor,0.6591876915782444
High Elas.,South Asia,2090,Agricultural labor,0.6226524227565052
High Elas.,South Asia,2095,Agricultural labor,0.5876110591106619
High Elas.,South Asia,2100,Agricultural labor,0.5541119466428869
High Elas.,Latin America,2015,Agricultural labor,1
High Elas.,Latin America,2020,Agricultural labor,1.004207359505593
High Elas.,Latin America,2025,Agricultural labor,1.0039305994179895
High Elas.,Latin America,2030,Agricultural labor,0.9878255393028832
High Elas.,Latin America,2035,Agricultural labor,0.9705266737934802
High Elas.,Latin America,2040,Agricultural labor,0.9566366907014003
High Elas.,Latin America,2045,Agricultural labor,0.9496399372438528
High Elas.,Latin America,2050,Agricultural labor,0.9388048042746381
High Elas.,Latin America,2055,Agricultural labor,0.916709789377833
High Elas.,Latin America,2060,Agricultural labor,0.8863180679221767
High Elas.,Latin America,2065,Agricultural labor,0.8537259505085648
High Elas.,Latin America,2070,Agricultural labor,0.8160075312362991
High Elas.,Latin America,2075,Agricultural labor,0.7774417033411355
High Elas.,Latin America,2080,Agricultural labor,0.7381316928148958
High Elas.,Latin America,2085,Agricultural labor,0.6990895305082078
High Elas.,Latin America,2090,Agricultural labor,0.6603366118626802
High Elas.,Latin America,2095,Agricultural labor,0.6230962449203412
High Elas.,Latin America,2100,Agricultural labor,0.5866004447064663
High Elas.,Middle East,2015,Agricultural labor,1
High Elas.,Middle East,2020,Agricultural labor,1.0396747326364255
High Elas.,Middle East,2025,Agricultural labor,1.0846332512319088
High Elas.,Middle East,2030,Agricultural labor,1.1178835849728332
High Elas.,Middle East,2035,Agricultural labor,1.1503871596038209
High Elas.,Middle East,2040,Agricultural labor,1.176965822246266
High Elas.,Middle East,2045,Agricultural labor,1.2015724835235562
High Elas.,Middle East,2050,Agricultural labor,1.2157727205314173
High Elas.,Middle East,2055,Agricultural labor,1.213923302396199
High Elas.,Middle East,2060,Agricultural labor,1.2026008797617598
High Elas.,Middle East,2065,Agricultural labor,1.1809855843009878
High Elas.,Middle East,2070,Agricultural labor,1.1471958155311268
High Elas.,Middle East,2075,Agricultural labor,1.1088716480423757
High Elas.,Middle East,2080,Agricultural labor,1.0659414146742203
High Elas.,Middle East,2085,Agricultural labor,1.0217687308167507
High Elas.,Middle East,2090,Agricultural labor,0.9753308693664688
High Elas.,Middle East,2095,Agricultural labor,0.9274681339490803
High Elas.,Middle East,2100,Agricultural labor,0.8782025333033681
