scenario,year,sector,value,region
Low productivity,2085,Staple crops,0.07378436275736298,World
Low productivity,2090,Livestock,0.385687476968246,World
Low productivity,2090,Staple crops,0.0729096703389225,World
Low productivity,2095,Livestock,0.38549724881127,World
Low productivity,2095,Staple crops,0.07191244538882333,World
Low productivity,2100,Livestock,0.38504313644822014,World
Low productivity,2100,Staple crops,0.07097109481424368,World
Static,2015,Livestock,0.3318321718594479,World
Static,2015,Staple crops,0.08013786953456159,World
Static,2020,Livestock,0.3357458876489376,World
Static,2020,Staple crops,0.08012053149649487,World
Static,2025,Livestock,0.34131362854902086,World
Static,2025,Staple crops,0.08058664297451638,World
Static,2030,Livestock,0.3465108897484458,World
Static,2030,Staple crops,0.08065634981987795,World
Static,2035,Livestock,0.3508471138815337,World
Static,2035,Staple crops,0.08084885589861947,World
Static,2040,Livestock,0.35505469675958495,World
Static,2040,Staple crops,0.08089745449061062,World
Static,2045,Livestock,0.35922975882408,World
Static,2045,Staple crops,0.0806656918263359,World
Static,2050,Livestock,0.363326863157899,World
Static,2050,Staple crops,0.08030666929963495,World
Static,2055,Livestock,0.36817138835829205,World
Static,2055,Staple crops,0.08039013548835224,World
Static,2060,Livestock,0.3728631306666583,World
Static,2060,Staple crops,0.08040029920717151,World
Static,2065,Livestock,0.3774619143066001,World
Static,2065,Staple crops,0.0803366444749156,World
Static,2070,Livestock,0.38169301958187457,World
Static,2070,Staple crops,0.0802139724537231,World
Static,2075,Livestock,0.3854600189916278,World
Static,2075,Staple crops,0.07999797945013089,World
Static,2080,Livestock,0.3887458829089276,World
Static,2080,Staple crops,0.07971720972828764,World
Static,2085,Livestock,0.39147208474472195,World
Static,2085,Staple crops,0.07935086913316132,World
Static,2090,Livestock,0.39373268691388225,World
Static,2090,Staple crops,0.07893416973752908,World
Static,2095,Livestock,0.39566837732717797,World
Static,2095,Staple crops,0.07851732950623375,World
Static,2100,Livestock,0.39714971040774155,World
Static,2100,Staple crops,0.07807763630465123,World
Evolving,2015,Livestock,0.5268080867725393,Africa
Evolving,2015,Staple crops,0.08568275602107445,Africa
Evolving,2015,Livestock,0.7049499181114337,China
Evolving,2015,Staple crops,0.12625635966892637,China
Evolving,2015,Livestock,0.232456027519546,Europe
Evolving,2015,Staple crops,0.052133579307391875,Europe
Evolving,2015,Livestock,0.0953271806069333,South Asia
Evolving,2015,Staple crops,0.07195698601990055,South Asia
Evolving,2015,Livestock,0.3196706096797968,Latin America
Evolving,2015,Staple crops,0.061543817275822,Latin America
Evolving,2015,Livestock,0.5454146212630263,Middle East
Evolving,2015,Staple crops,0.11547881243985701,Middle East
Evolving,2015,Livestock,0.3013034255299295,North America
Evolving,2015,Staple crops,0.04565615307973665,North America
Evolving,2015,Livestock,0.5792731547833848,Pacific OECD
Evolving,2015,Staple crops,0.19304742443181397,Pacific OECD
Evolving,2015,Livestock,0.23091360036130845,Reforming
Evolving,2015,Staple crops,0.043439523448292196,Reforming
Evolving,2015,Livestock,0.5191696215366934,Rest of Asia
Evolving,2015,Staple crops,0.09228640840668331,Rest of Asia
Evolving,2020,Livestock,0.5414125154026982,Africa
Evolving,2020,Staple crops,0.0848603204841784,Africa
Evolving,2020,Livestock,0.6879587248017257,China
Evolving,2020,Staple crops,0.11411490156720124,China
Evolving,2020,Livestock,0.23224721320944375,Europe
Evolving,2020,Staple crops,0.05128955603032838,Europe
Evolving,2020,Livestock,0.09757685998160015,South Asia
Evolving,2020,Staple crops,0.06983143359875696,South Asia
Evolving,2020,Livestock,0.31767848572897095,Latin America
Evolving,2020,Staple crops,0.06113735771760399,Latin America
Evolving,2020,Livestock,0.5460693670728484,Middle East
Evolving,2020,Staple crops,0.11502970978683079,Middle East
Evolving,2020,Livestock,0.3017615336243455,North America
Evolving,2020,Staple crops,0.04514164915742573,North America
Evolving,2020,Livestock,0.5721122681230761,Pacific OECD
Evolving,2020,Staple crops,0.17605973605127723,Pacific OECD
Evolving,2020,Livestock,0.22846758230473763,Reforming
Evolving,2020,Staple crops,0.04143013200256312,Reforming
Evolving,2020,Livestock,0.519349815759664,Rest of Asia
Evolving,2020,Staple crops,0.08787658325241657,Rest of Asia
Evolving,2025,Livestock,0.5670539988576367,Africa
Evolving,2025,Staple crops,0.08368126633993271,Africa
Evolving,2025,Livestock,0.6758699063588565,China
Evolving,2025,Staple crops,0.10568171389481289,China
Evolving,2025,Livestock,0.234458718317161,Europe
Evolving,2025,Staple crops,0.05137271762133706,Europe
Evolving,2025,Livestock,0.10033813317816888,South Asia
Evolving,2025,Staple crops,0.06981399653275873,South Asia
Evolving,2025,Livestock,0.32381994152437804,Latin America
Evolving,2025,Staple crops,0.06056271278361792,Latin America
Evolving,2025,Livestock,0.5497312688593172,Middle East
Evolving,2025,Staple crops,0.11564889431899317,Middle East
Evolving,2025,Livestock,0.3054980999015977,North America
Evolving,2025,Staple crops,0.04520963825025821,North America
Evolving,2025,Livestock,0.5605303533730853,Pacific OECD
Evolving,2025,Staple crops,0.16542953536464367,Pacific OECD
Evolving,2025,Livestock,0.2293289816388795,Reforming
Evolving,2025,Staple crops,0.04096242755849868,Reforming
Evolving,2025,Livestock,0.5233451797833204,Rest of Asia
Evolving,2025,Staple crops,0.08458815607904684,Rest of Asia
Evolving,2030,Livestock,0.5911943060317001,Africa
Evolving,2030,Staple crops,0.07862068594068687,Africa
Evolving,2030,Livestock,0.6669036971828675,China
Evolving,2030,Staple crops,0.1002203447389501,China
Evolving,2030,Livestock,0.2354482187765971,Europe
Evolving,2030,Staple crops,0.05112004943469579,Europe
Evolving,2030,Livestock,0.10336526839220707,South Asia
Evolving,2030,Staple crops,0.0701523858694404,South Asia
Evolving,2030,Livestock,0.32801915993955777,Latin America
Evolving,2030,Staple crops,0.059502276914844436,Latin America
Evolving,2030,Livestock,0.5482942578842853,Middle East
Evolving,2030,Staple crops,0.112877228459423,Middle East
Evolving,2030,Livestock,0.30804684809852023,North America
Evolving,2030,Staple crops,0.044890695875105045,North America
Evolving,2030,Livestock,0.5494082974965183,Pacific OECD
Evolving,2030,Staple crops,0.1565668441241012,Pacific OECD
Evolving,2030,Livestock,0.22897784876220043,Reforming
Evolving,2030,Staple crops,0.039717531790377354,Reforming
Evolving,2030,Livestock,0.5259812330877631,Rest of Asia
Evolving,2030,Staple crops,0.08220987211465572,Rest of Asia
Evolving,2035,Livestock,0.6174277223717463,Africa
Evolving,2035,Staple crops,0.0756655649407712,Africa
Evolving,2035,Livestock,0.6616288417987707,China
Evolving,2035,Staple crops,0.09691030866605599,China
Evolving,2035,Livestock,0.23651387220271952,Europe
Evolving,2035,Staple crops,0.05098338648983769,Europe
Evolving,2035,Livestock,0.10765379043445253,South Asia
Evolving,2035,Staple crops,0.07170214749597467,South Asia
Evolving,2035,Livestock,0.3320538488409655,Latin America
Evolving,2035,Staple crops,0.05895427482309426,Latin America
Evolving,2035,Livestock,0.5482449174422415,Middle East
Evolving,2035,Staple crops,0.11097950667971275,Middle East
Evolving,2035,Livestock,0.3109900543395375,North America
Evolving,2035,Staple crops,0.04482567057605886,North America
Evolving,2035,Livestock,0.5380251121563874,Pacific OECD
Evolving,2035,Staple crops,0.15126931824775836,Pacific OECD
Evolving,2035,Livestock,0.22943036491596264,Reforming
Evolving,2035,Staple crops,0.03891257967692535,Reforming
Evolving,2035,Livestock,0.5303037417667505,Rest of Asia
Evolving,2035,Staple crops,0.08107199236576668,Rest of Asia
Evolving,2040,Livestock,0.6489731485675436,Africa
Evolving,2040,Staple crops,0.07403691810705026,Africa
Evolving,2040,Livestock,0.6596501718168029,China
Evolving,2040,Staple crops,0.09458426570126409,China
Evolving,2040,Livestock,0.23823499584496907,Europe
Evolving,2040,Staple crops,0.0511164343493348,Europe
Evolving,2040,Livestock,0.11288522739311939,South Asia
Evolving,2040,Staple crops,0.0735742499315234,South Asia
Evolving,2040,Livestock,0.33685937428201695,Latin America
Evolving,2040,Staple crops,0.05876840125789365,Latin America
Evolving,2040,Livestock,0.5508198064948864,Middle East
Evolving,2040,Staple crops,0.10994336805163744,Middle East
Evolving,2040,Livestock,0.31449034018467126,North America
Evolving,2040,Staple crops,0.04504257053271742,North America
Evolving,2040,Livestock,0.5261851694673134,Pacific OECD
Evolving,2040,Staple crops,0.1461990435990309,Pacific OECD
Evolving,2040,Livestock,0.23102951440556027,Reforming
Evolving,2040,Staple crops,0.03861768371887297,Reforming
Evolving,2040,Livestock,0.5365928385387139,Rest of Asia
Evolving,2040,Staple crops,0.0803784552740127,Rest of Asia
Evolving,2045,Livestock,0.6848161185100589,Africa
Evolving,2045,Staple crops,0.07323467102185777,Africa
Evolving,2045,Livestock,0.6605545502239487,China
Evolving,2045,Staple crops,0.09311267803796824,China
Evolving,2045,Livestock,0.24024996100725504,Europe
Evolving,2045,Staple crops,0.0513640368385154,Europe
Evolving,2045,Livestock,0.11838163697374321,South Asia
Evolving,2045,Staple crops,0.07556269477985934,South Asia
Evolving,2045,Livestock,0.3421609029662543,Latin America
Evolving,2045,Staple crops,0.05870208024862649,Latin America
Evolving,2045,Livestock,0.5554098514223159,Middle East
Evolving,2045,Staple crops,0.10941199498790469,Middle East
Evolving,2045,Livestock,0.31825648879228696,North America
Evolving,2045,Staple crops,0.04549045427364086,North America
Evolving,2045,Livestock,0.5145663582598169,Pacific OECD
Evolving,2045,Staple crops,0.14103430436553116,Pacific OECD
Evolving,2045,Livestock,0.23340375519913426,Reforming
Evolving,2045,Staple crops,0.03868617203639635,Reforming
Evolving,2045,Livestock,0.5442143761505672,Rest of Asia
Evolving,2045,Staple crops,0.0798819937895623,Rest of Asia
Evolving,2050,Livestock,0.7227729237589341,Africa
Evolving,2050,Staple crops,0.07283773007409908,Africa
Evolving,2050,Livestock,0.6615868508331688,China
Evolving,2050,Staple crops,0.09173952908205908,China
Evolving,2050,Livestock,0.2423424735295968,Europe
Evolving,2050,Staple crops,0.051683381819956256,Europe
Evolving,2050,Livestock,0.12397307803530534,South Asia
Evolving,2050,Staple crops,0.0776696143071801,South Asia
Evolving,2050,Livestock,0.3477709870891267,Latin America
Evolving,2050,Staple crops,0.05873894778735067,Latin America
Evolving,2050,Livestock,0.5615161657702248,Middle East
Evolving,2050,Staple crops,0.10935732134212761,Middle East
Evolving,2050,Livestock,0.32212369993650314,North America
Evolving,2050,Staple crops,0.045992152199136,North America
Evolving,2050,Livestock,0.502540433552844,Pacific OECD
Evolving,2050,Staple crops,0.13633976162426875,Pacific OECD
Evolving,2050,Livestock,0.23609203820214175,Reforming
Evolving,2050,Staple crops,0.03889580939385164,Reforming
Evolving,2050,Livestock,0.5518804986142143,Rest of Asia
Evolving,2050,Staple crops,0.07944330379155515,Rest of Asia
Evolving,2055,Livestock,0.7598521972401183,Africa
Evolving,2055,Staple crops,0.07251636894738576,Africa
Evolving,2055,Livestock,0.6601673421193273,China
Evolving,2055,Staple crops,0.08983178763424568,China
Evolving,2055,Livestock,0.24389857534105575,Europe
Evolving,2055,Staple crops,0.051838409652967994,Europe
Evolving,2055,Livestock,0.12973734883067195,South Asia
Evolving,2055,Staple crops,0.08079880944196266,South Asia
Evolving,2055,Livestock,0.35273089486520315,Latin America
Evolving,2055,Staple crops,0.05874767668914078,Latin America
Evolving,2055,Livestock,0.5672984593384152,Middle East
Evolving,2055,Staple crops,0.10960640085500742,Middle East
Evolving,2055,Livestock,0.32544464813647617,North America
Evolving,2055,Staple crops,0.046283411008133483,North America
Evolving,2055,Livestock,0.4899878197237716,Pacific OECD
Evolving,2055,Staple crops,0.13170104042555206,Pacific OECD
Evolving,2055,Livestock,0.23822629731297956,Reforming
Evolving,2055,Staple crops,0.03892536248560175,Reforming
Evolving,2055,Livestock,0.5589042938907898,Rest of Asia
Evolving,2055,Staple crops,0.07954746523670533,Rest of Asia
Evolving,2060,Livestock,0.7947897115402912,Africa
Evolving,2060,Staple crops,0.07226002040566142,Africa
Evolving,2060,Livestock,0.6582683735474434,China
Evolving,2060,Staple crops,0.08801122100044792,China
Evolving,2060,Livestock,0.24527218667104667,Europe
Evolving,2060,Staple crops,0.051949623973914685,Europe
Evolving,2060,Livestock,0.1350903139145063,South Asia
Evolving,2060,Staple crops,0.08367601694602508,South Asia
Evolving,2060,Livestock,0.35729144549904934,Latin America
Evolving,2060,Staple crops,0.05867535981035147,Latin America
Evolving,2060,Livestock,0.5731139114228906,Middle East
Evolving,2060,Staple crops,0.10989769654878437,Middle East
Evolving,2060,Livestock,0.32858712861059375,North America
Evolving,2060,Staple crops,0.0464222167186787,North America
Evolving,2060,Livestock,0.47716398097770696,Pacific OECD
Evolving,2060,Staple crops,0.12720095247057395,Pacific OECD
Evolving,2060,Livestock,0.2404283484315197,Reforming
Evolving,2060,Staple crops,0.03896597495600684,Reforming
Evolving,2060,Livestock,0.5641275130741739,Rest of Asia
Evolving,2060,Staple crops,0.07939175122469469,Rest of Asia
Evolving,2065,Livestock,0.8261765192042094,Africa
Evolving,2065,Staple crops,0.07180390749007082,Africa
Evolving,2065,Livestock,0.65488518665944,China
Evolving,2065,Staple crops,0.08608576963507845,China
Evolving,2065,Livestock,0.2460874980802923,Europe
Evolving,2065,Staple crops,0.05193209427031657,Europe
Evolving,2065,Livestock,0.1394871681379515,South Asia
Evolving,2065,Staple crops,0.08594984024034456,South Asia
Evolving,2065,Livestock,0.3610394441202872,Latin America
Evolving,2065,Staple crops,0.05844712931148366,Latin America
Evolving,2065,Livestock,0.5784051046491435,Middle East
Evolving,2065,Staple crops,0.10993368867544627,Middle East
Evolving,2065,Livestock,0.3312006148679406,North America
Evolving,2065,Staple crops,0.046463223371303694,North America
Evolving,2065,Livestock,0.46401893709203057,Pacific OECD
Evolving,2065,Staple crops,0.12255702252489792,Pacific OECD
Evolving,2065,Livestock,0.24229824775079614,Reforming
Evolving,2065,Staple crops,0.038944234652933674,Reforming
Evolving,2065,Livestock,0.5671088001630826,Rest of Asia
Evolving,2065,Staple crops,0.07886709429328885,Rest of Asia
Evolving,2070,Livestock,0.8541987448801979,Africa
Evolving,2070,Staple crops,0.0713511482555796,Africa
Evolving,2070,Livestock,0.6511300575954223,China
Evolving,2070,Staple crops,0.08433077803540642,China
Evolving,2070,Livestock,0.2466646523926593,Europe
Evolving,2070,Staple crops,0.05182383067966789,Europe
Evolving,2070,Livestock,0.14305342005297453,South Asia
Evolving,2070,Staple crops,0.08762907200045225,South Asia
Evolving,2070,Livestock,0.3642533798846857,Latin America
Evolving,2070,Staple crops,0.058136355499824544,Latin America
Evolving,2070,Livestock,0.583414660763103,Middle East
Evolving,2070,Staple crops,0.10996440317695437,Middle East
Evolving,2070,Livestock,0.33364164780872746,North America
Evolving,2070,Staple crops,0.04645542341150856,North America
Evolving,2070,Livestock,0.4513349422448091,Pacific OECD
Evolving,2070,Staple crops,0.11830343452141572,Pacific OECD
Evolving,2070,Livestock,0.243900300100743,Reforming
Evolving,2070,Staple crops,0.03884236040704787,Reforming
Evolving,2070,Livestock,0.5684312613830913,Rest of Asia
Evolving,2070,Staple crops,0.07815824697167752,Rest of Asia
Evolving,2075,Livestock,0.8771823917899281,Africa
Evolving,2075,Staple crops,0.07072160169529908,Africa
Evolving,2075,Livestock,0.6450148025521181,China
Evolving,2075,Staple crops,0.0823334480710954,China
Evolving,2075,Livestock,0.24625179277977094,Europe
Evolving,2075,Staple crops,0.05141398252915277,Europe
Evolving,2075,Livestock,0.14544523952597252,South Asia
Evolving,2075,Staple crops,0.08855314528589128,South Asia
Evolving,2075,Livestock,0.36632217493978464,Latin America
Evolving,2075,Staple crops,0.057638459529204614,Latin America
Evolving,2075,Livestock,0.5871698033535097,Middle East
Evolving,2075,Staple crops,0.10961838183793347,Middle East
