scenario,sector,year,value,region
Evolving,"paste(N[2], ""O Agriculture"")",2020,0.37809999043784814,China
Evolving,"paste(N[2], ""O Agriculture"")",2020,0.20207888003227079,Europe
Evolving,"paste(N[2], ""O Agriculture"")",2020,0.3000187339531805,South Asia
Evolving,"paste(N[2], ""O Agriculture"")",2020,0.2996382661697019,Latin America
Evolving,"paste(N[2], ""O Agriculture"")",2020,0.045798230833797055,Middle East
Evolving,"paste(N[2], ""O Agriculture"")",2020,0.4060908504356537,North America
Evolving,"paste(N[2], ""O Agriculture"")",2020,0.03378311757121611,Pacific OECD
Evolving,"paste(N[2], ""O Agriculture"")",2020,0.08304453390357412,Reforming
Evolving,"paste(N[2], ""O Agriculture"")",2020,0.15010583256090815,Rest of Asia
High Elas.,"paste(CH[4], "" Agriculture"")",2020,0.42982952946239955,Africa
High Elas.,"paste(CH[4], "" Agriculture"")",2020,0.4800499959067261,China
High Elas.,"paste(CH[4], "" Agriculture"")",2020,0.3473880583522421,Europe
High Elas.,"paste(CH[4], "" Agriculture"")",2020,0.8455717223460334,South Asia
High Elas.,"paste(CH[4], "" Agriculture"")",2020,0.7544885527698767,Latin America
High Elas.,"paste(CH[4], "" Agriculture"")",2020,0.050835724076933646,Middle East
High Elas.,"paste(CH[4], "" Agriculture"")",2020,0.3074799265341876,North America
High Elas.,"paste(CH[4], "" Agriculture"")",2020,0.1346333726295287,Pacific OECD
High Elas.,"paste(CH[4], "" Agriculture"")",2020,0.1460009032043266,Reforming
High Elas.,"paste(CH[4], "" Agriculture"")",2020,0.40416716760888066,Rest of Asia
High Elas.,"paste(N[2], ""O Agriculture"")",2020,0.241938548595569,Africa
High Elas.,"paste(N[2], ""O Agriculture"")",2020,0.3776989475938423,China
High Elas.,"paste(N[2], ""O Agriculture"")",2020,0.20252283380704905,Europe
High Elas.,"paste(N[2], ""O Agriculture"")",2020,0.29950231642094427,South Asia
High Elas.,"paste(N[2], ""O Agriculture"")",2020,0.299850878130068,Latin America
High Elas.,"paste(N[2], ""O Agriculture"")",2020,0.04587140697764108,Middle East
High Elas.,"paste(N[2], ""O Agriculture"")",2020,0.40632474043532535,North America
High Elas.,"paste(N[2], ""O Agriculture"")",2020,0.03372968442384885,Pacific OECD
High Elas.,"paste(N[2], ""O Agriculture"")",2020,0.08291739750663721,Reforming
High Elas.,"paste(N[2], ""O Agriculture"")",2020,0.1498332604283888,Rest of Asia
Low Elas.,"paste(CH[4], "" Agriculture"")",2020,0.42981923765395474,Africa
Low Elas.,"paste(CH[4], "" Agriculture"")",2020,0.48042840389227304,China
Low Elas.,"paste(CH[4], "" Agriculture"")",2020,0.3464630602770773,Europe
Low Elas.,"paste(CH[4], "" Agriculture"")",2020,0.8469136146855055,South Asia
Low Elas.,"paste(CH[4], "" Agriculture"")",2020,0.7547891998414702,Latin America
Low Elas.,"paste(CH[4], "" Agriculture"")",2020,0.05060858256683578,Middle East
Low Elas.,"paste(CH[4], "" Agriculture"")",2020,0.3065371671069518,North America
Low Elas.,"paste(CH[4], "" Agriculture"")",2020,0.13491569200417283,Pacific OECD
Low Elas.,"paste(CH[4], "" Agriculture"")",2020,0.1465220706731263,Reforming
Low Elas.,"paste(CH[4], "" Agriculture"")",2020,0.40586012350173123,Rest of Asia
Low Elas.,"paste(N[2], ""O Agriculture"")",2020,0.24213562899196348,Africa
Low Elas.,"paste(N[2], ""O Agriculture"")",2020,0.37896604130693395,China
Low Elas.,"paste(N[2], ""O Agriculture"")",2020,0.2011753423268551,Europe
Low Elas.,"paste(N[2], ""O Agriculture"")",2020,0.30123535161926895,South Asia
Low Elas.,"paste(N[2], ""O Agriculture"")",2020,0.2992807032795198,Latin America
Low Elas.,"paste(N[2], ""O Agriculture"")",2020,0.04566501472277663,Middle East
Low Elas.,"paste(N[2], ""O Agriculture"")",2020,0.4048446850785771,North America
Low Elas.,"paste(N[2], ""O Agriculture"")",2020,0.03386336550528914,Pacific OECD
Low Elas.,"paste(N[2], ""O Agriculture"")",2020,0.08323139196980185,Reforming
Low Elas.,"paste(N[2], ""O Agriculture"")",2020,0.15065473731615303,Rest of Asia
High transition,"paste(CH[4], "" Agriculture"")",2020,0.42982731107208805,Africa
High transition,"paste(CH[4], "" Agriculture"")",2020,0.4801651643950136,China
High transition,"paste(CH[4], "" Agriculture"")",2020,0.3470998450802258,Europe
High transition,"paste(CH[4], "" Agriculture"")",2020,0.8459577051627507,South Asia
High transition,"paste(CH[4], "" Agriculture"")",2020,0.7545673899631781,Latin America
High transition,"paste(CH[4], "" Agriculture"")",2020,0.05075962129271833,Middle East
High transition,"paste(CH[4], "" Agriculture"")",2020,0.30722875576021536,North America
High transition,"paste(CH[4], "" Agriculture"")",2020,0.13472612629938352,Pacific OECD
High transition,"paste(CH[4], "" Agriculture"")",2020,0.146196058648713,Reforming
High transition,"paste(CH[4], "" Agriculture"")",2020,0.404756200312866,Rest of Asia
High transition,"paste(N[2], ""O Agriculture"")",2020,0.2420087363994202,Africa
High transition,"paste(N[2], ""O Agriculture"")",2020,0.37809999043784814,China
High transition,"paste(N[2], ""O Agriculture"")",2020,0.20207888003227079,Europe
High transition,"paste(N[2], ""O Agriculture"")",2020,0.3000187339531805,South Asia
High transition,"paste(N[2], ""O Agriculture"")",2020,0.2996382661697019,Latin America
High transition,"paste(N[2], ""O Agriculture"")",2020,0.045798230833797055,Middle East
High transition,"paste(N[2], ""O Agriculture"")",2020,0.4060908504356537,North America
High transition,"paste(N[2], ""O Agriculture"")",2020,0.03378311757121611,Pacific OECD
High transition,"paste(N[2], ""O Agriculture"")",2020,0.08304453390357412,Reforming
High transition,"paste(N[2], ""O Agriculture"")",2020,0.15010583256090815,Rest of Asia
Low transition,"paste(CH[4], "" Agriculture"")",2020,0.42982731107208805,Africa
Low transition,"paste(CH[4], "" Agriculture"")",2020,0.4801651643950136,China
Low transition,"paste(CH[4], "" Agriculture"")",2020,0.3470998450802258,Europe
Low transition,"paste(CH[4], "" Agriculture"")",2020,0.8459577051627507,South Asia
Low transition,"paste(CH[4], "" Agriculture"")",2020,0.7545673899631781,Latin America
Low transition,"paste(CH[4], "" Agriculture"")",2020,0.05075962129271833,Middle East
Low transition,"paste(CH[4], "" Agriculture"")",2020,0.30722875576021536,North America
Low transition,"paste(CH[4], "" Agriculture"")",2020,0.13472612629938352,Pacific OECD
Low transition,"paste(CH[4], "" Agriculture"")",2020,0.146196058648713,Reforming
Low transition,"paste(CH[4], "" Agriculture"")",2020,0.404756200312866,Rest of Asia
Low transition,"paste(N[2], ""O Agriculture"")",2020,0.2420087363994202,Africa
Low transition,"paste(N[2], ""O Agriculture"")",2020,0.37809999043784814,China
Low transition,"paste(N[2], ""O Agriculture"")",2020,0.20207888003227079,Europe
Low transition,"paste(N[2], ""O Agriculture"")",2020,0.3000187339531805,South Asia
Low transition,"paste(N[2], ""O Agriculture"")",2020,0.2996382661697019,Latin America
Low transition,"paste(N[2], ""O Agriculture"")",2020,0.045798230833797055,Middle East
Low transition,"paste(N[2], ""O Agriculture"")",2020,0.4060908504356537,North America
Low transition,"paste(N[2], ""O Agriculture"")",2020,0.03378311757121611,Pacific OECD
Low transition,"paste(N[2], ""O Agriculture"")",2020,0.08304453390357412,Reforming
Low transition,"paste(N[2], ""O Agriculture"")",2020,0.15010583256090815,Rest of Asia
High productivity,"paste(CH[4], "" Agriculture"")",2020,0.429208721586623,Africa
High productivity,"paste(CH[4], "" Agriculture"")",2020,0.48166435698410953,China
High productivity,"paste(CH[4], "" Agriculture"")",2020,0.347732570803225,Europe
High productivity,"paste(CH[4], "" Agriculture"")",2020,0.8463711821929772,South Asia
High productivity,"paste(CH[4], "" Agriculture"")",2020,0.7533572728584272,Latin America
High productivity,"paste(CH[4], "" Agriculture"")",2020,0.05074134741963029,Middle East
High productivity,"paste(CH[4], "" Agriculture"")",2020,0.3067352765587398,North America
High productivity,"paste(CH[4], "" Agriculture"")",2020,0.13412854794953155,Pacific OECD
High productivity,"paste(CH[4], "" Agriculture"")",2020,0.14676157410116256,Reforming
High productivity,"paste(CH[4], "" Agriculture"")",2020,0.40699437368617614,Rest of Asia
High productivity,"paste(N[2], ""O Agriculture"")",2020,0.24176519750330747,Africa
High productivity,"paste(N[2], ""O Agriculture"")",2020,0.38426336333841277,China
High productivity,"paste(N[2], ""O Agriculture"")",2020,0.20247916488140982,Europe
High productivity,"paste(N[2], ""O Agriculture"")",2020,0.30088494836412094,South Asia
High productivity,"paste(N[2], ""O Agriculture"")",2020,0.2982110116722838,Latin America
High productivity,"paste(N[2], ""O Agriculture"")",2020,0.0458582853989879,Middle East
High productivity,"paste(N[2], ""O Agriculture"")",2020,0.4031763130887584,North America
High productivity,"paste(N[2], ""O Agriculture"")",2020,0.03382924988857677,Pacific OECD
High productivity,"paste(N[2], ""O Agriculture"")",2020,0.08373960584930419,Reforming
High productivity,"paste(N[2], ""O Agriculture"")",2020,0.15100294451297716,Rest of Asia
Low productivity,"paste(CH[4], "" Agriculture"")",2020,0.43053702068589095,Africa
Low productivity,"paste(CH[4], "" Agriculture"")",2020,0.47837415110920506,China
Low productivity,"paste(CH[4], "" Agriculture"")",2020,0.3465009265698418,Europe
Low productivity,"paste(CH[4], "" Agriculture"")",2020,0.8452777660246672,South Asia
Low productivity,"paste(CH[4], "" Agriculture"")",2020,0.7560533932517957,Latin America
Low productivity,"paste(CH[4], "" Agriculture"")",2020,0.050795884789255806,Middle East
Low productivity,"paste(CH[4], "" Agriculture"")",2020,0.3076910147510705,North America
Low productivity,"paste(CH[4], "" Agriculture"")",2020,0.13541020205623625,Pacific OECD
Low productivity,"paste(CH[4], "" Agriculture"")",2020,0.14563858713039848,Reforming
Low productivity,"paste(CH[4], "" Agriculture"")",2020,0.40236209317682453,Rest of Asia
Low productivity,"paste(N[2], ""O Agriculture"")",2020,0.24229161586766412,Africa
Low productivity,"paste(N[2], ""O Agriculture"")",2020,0.37095368196595424,China
Low productivity,"paste(N[2], ""O Agriculture"")",2020,0.2017964934917783,Europe
Low productivity,"paste(N[2], ""O Agriculture"")",2020,0.2989966002844717,South Asia
Low productivity,"paste(N[2], ""O Agriculture"")",2020,0.30136735209801313,Latin America
Low productivity,"paste(N[2], ""O Agriculture"")",2020,0.04576483907266444,Middle East
Low productivity,"paste(N[2], ""O Agriculture"")",2020,0.40881002050251003,North America
Low productivity,"paste(N[2], ""O Agriculture"")",2020,0.03373989238966383,Pacific OECD
Low productivity,"paste(N[2], ""O Agriculture"")",2020,0.08235133405341759,Reforming
Low productivity,"paste(N[2], ""O Agriculture"")",2020,0.1490995132559756,Rest of Asia
Static,"paste(CH[4], "" Agriculture"")",2020,0.43085731298692137,Africa
Static,"paste(CH[4], "" Agriculture"")",2020,0.4758843089991652,China
Static,"paste(CH[4], "" Agriculture"")",2020,0.34712349707435225,Europe
Static,"paste(CH[4], "" Agriculture"")",2020,0.843565123847481,South Asia
Static,"paste(CH[4], "" Agriculture"")",2020,0.7570807347539641,Latin America
Static,"paste(CH[4], "" Agriculture"")",2020,0.051076045263507036,Middle East
Static,"paste(CH[4], "" Agriculture"")",2020,0.3095657307455611,North America
Static,"paste(CH[4], "" Agriculture"")",2020,0.135281705208082,Pacific OECD
Static,"paste(CH[4], "" Agriculture"")",2020,0.14394069747598845,Reforming
Static,"paste(CH[4], "" Agriculture"")",2020,0.3979374335549412,Rest of Asia
Static,"paste(N[2], ""O Agriculture"")",2020,0.24199027733815096,Africa
Static,"paste(N[2], ""O Agriculture"")",2020,0.36230394508271896,China
Static,"paste(N[2], ""O Agriculture"")",2020,0.20332333325171006,Europe
Static,"paste(N[2], ""O Agriculture"")",2020,0.29620678204915746,South Asia
Static,"paste(N[2], ""O Agriculture"")",2020,0.3046460992305329,Latin America
Static,"paste(N[2], ""O Agriculture"")",2020,0.04593077283829944,Middle East
Static,"paste(N[2], ""O Agriculture"")",2020,0.41313048989699985,North America
Static,"paste(N[2], ""O Agriculture"")",2020,0.033350648297075375,Pacific OECD
Static,"paste(N[2], ""O Agriculture"")",2020,0.08057770720340064,Reforming
Static,"paste(N[2], ""O Agriculture"")",2020,0.14710341377669933,Rest of Asia
Evolving,"paste(CH[4], "" Agriculture"")",2025,24.284262863027735,World
Evolving,"paste(N[2], ""O Agriculture"")",2025,13.378562105614705,World
High Elas.,"paste(CH[4], "" Agriculture"")",2025,24.277856773264823,World
High Elas.,"paste(N[2], ""O Agriculture"")",2025,13.375521667365673,World
Low Elas.,"paste(CH[4], "" Agriculture"")",2025,24.297464661221333,World
Low Elas.,"paste(N[2], ""O Agriculture"")",2025,13.377028676113865,World
High transition,"paste(CH[4], "" Agriculture"")",2025,24.280330019387392,World
High transition,"paste(N[2], ""O Agriculture"")",2025,13.383483106860822,World
Low transition,"paste(CH[4], "" Agriculture"")",2025,24.28831999031885,World
Low transition,"paste(N[2], ""O Agriculture"")",2025,13.373260802825214,World
High productivity,"paste(CH[4], "" Agriculture"")",2025,24.30444798802639,World
High productivity,"paste(N[2], ""O Agriculture"")",2025,13.412815730231605,World
Low productivity,"paste(CH[4], "" Agriculture"")",2025,24.262298042190082,World
Low productivity,"paste(N[2], ""O Agriculture"")",2025,13.337522013069458,World
Static,"paste(CH[4], "" Agriculture"")",2025,24.212049564643134,World
Static,"paste(N[2], ""O Agriculture"")",2025,13.288391123810186,World
Evolving,"paste(CH[4], "" Agriculture"")",2025,2.732656046431269,Africa
Evolving,"paste(CH[4], "" Agriculture"")",2025,2.9602685414977032,China
Evolving,"paste(CH[4], "" Agriculture"")",2025,2.1226732895229903,Europe
Evolving,"paste(CH[4], "" Agriculture"")",2025,5.373219031281252,South Asia
Evolving,"paste(CH[4], "" Agriculture"")",2025,4.656044563323064,Latin America
Evolving,"paste(CH[4], "" Agriculture"")",2025,0.31772513776618294,Middle East
Evolving,"paste(CH[4], "" Agriculture"")",2025,1.8907819259310041,North America
Evolving,"paste(CH[4], "" Agriculture"")",2025,0.8216297293544296,Pacific OECD
Evolving,"paste(CH[4], "" Agriculture"")",2025,0.8990229058984424,Reforming
Evolving,"paste(CH[4], "" Agriculture"")",2025,2.510241692021398,Rest of Asia
Evolving,"paste(N[2], ""O Agriculture"")",2025,1.5658056258982866,Africa
Evolving,"paste(N[2], ""O Agriculture"")",2025,2.3596708794419037,China
Evolving,"paste(N[2], ""O Agriculture"")",2025,1.2649737814140254,Europe
Evolving,"paste(N[2], ""O Agriculture"")",2025,1.8984238679698033,South Asia
Evolving,"paste(N[2], ""O Agriculture"")",2025,1.8545875107102288,Latin America
Evolving,"paste(N[2], ""O Agriculture"")",2025,0.2869899023701006,Middle East
Evolving,"paste(N[2], ""O Agriculture"")",2025,2.478370616735547,North America
Evolving,"paste(N[2], ""O Agriculture"")",2025,0.2093870059454243,Pacific OECD
Evolving,"paste(N[2], ""O Agriculture"")",2025,0.5173810571097921,Reforming
Evolving,"paste(N[2], ""O Agriculture"")",2025,0.9429718580195938,Rest of Asia
High Elas.,"paste(CH[4], "" Agriculture"")",2025,2.733426748029062,Africa
High Elas.,"paste(CH[4], "" Agriculture"")",2025,2.9583263808409517,China
High Elas.,"paste(CH[4], "" Agriculture"")",2025,2.1257410195754805,Europe
High Elas.,"paste(CH[4], "" Agriculture"")",2025,5.370130353665805,South Asia
High Elas.,"paste(CH[4], "" Agriculture"")",2025,4.654676165047582,Latin America
High Elas.,"paste(CH[4], "" Agriculture"")",2025,0.318446511276545,Middle East
High Elas.,"paste(CH[4], "" Agriculture"")",2025,1.8933893329442293,North America
High Elas.,"paste(CH[4], "" Agriculture"")",2025,0.8204133044044635,Pacific OECD
High Elas.,"paste(CH[4], "" Agriculture"")",2025,0.8982796165525406,Reforming
High Elas.,"paste(CH[4], "" Agriculture"")",2025,2.505027340928165,Rest of Asia
High Elas.,"paste(N[2], ""O Agriculture"")",2025,1.5657940227002358,Africa
High Elas.,"paste(N[2], ""O Agriculture"")",2025,2.353329070163448,China
High Elas.,"paste(N[2], ""O Agriculture"")",2025,1.269112681493329,Europe
High Elas.,"paste(N[2], ""O Agriculture"")",2025,1.894297536035181,South Asia
High Elas.,"paste(N[2], ""O Agriculture"")",2025,1.8559812449667468,Latin America
High Elas.,"paste(N[2], ""O Agriculture"")",2025,0.28768301503362775,Middle East
High Elas.,"paste(N[2], ""O Agriculture"")",2025,2.481670038989713,North America
High Elas.,"paste(N[2], ""O Agriculture"")",2025,0.2092070875172773,Pacific OECD
High Elas.,"paste(N[2], ""O Agriculture"")",2025,0.5180632844137721,Reforming
High Elas.,"paste(N[2], ""O Agriculture"")",2025,0.9403836860523431,Rest of Asia
Low Elas.,"paste(CH[4], "" Agriculture"")",2025,2.731542051295601,Africa
Low Elas.,"paste(CH[4], "" Agriculture"")",2025,2.9649254615557874,China
Low Elas.,"paste(CH[4], "" Agriculture"")",2025,2.1151341520607176,Europe
Low Elas.,"paste(CH[4], "" Agriculture"")",2025,5.381205365328217,South Asia
Low Elas.,"paste(CH[4], "" Agriculture"")",2025,4.660787764125834,Latin America
Low Elas.,"paste(CH[4], "" Agriculture"")",2025,0.31628551015809925,Middle East
Low Elas.,"paste(CH[4], "" Agriculture"")",2025,1.8822509908137683,North America
Low Elas.,"paste(CH[4], "" Agriculture"")",2025,0.8244934358033393,Pacific OECD
Low Elas.,"paste(CH[4], "" Agriculture"")",2025,0.9002425192994522,Reforming
Low Elas.,"paste(CH[4], "" Agriculture"")",2025,2.5205974107805185,Rest of Asia
Low Elas.,"paste(N[2], ""O Agriculture"")",2025,1.5659579403206454,Africa
Low Elas.,"paste(N[2], ""O Agriculture"")",2025,2.3740936372720216,China
Low Elas.,"paste(N[2], ""O Agriculture"")",2025,1.2554235073253306,Europe
Low Elas.,"paste(N[2], ""O Agriculture"")",2025,1.908513366974991,South Asia
Low Elas.,"paste(N[2], ""O Agriculture"")",2025,1.8530044721602092,Latin America
Low Elas.,"paste(N[2], ""O Agriculture"")",2025,0.28573611954917283,Middle East
Low Elas.,"paste(N[2], ""O Agriculture"")",2025,2.4605583903662787,North America
Low Elas.,"paste(N[2], ""O Agriculture"")",2025,0.20943872124296037,Pacific OECD
Low Elas.,"paste(N[2], ""O Agriculture"")",2025,0.5158549012591168,Reforming
Low Elas.,"paste(N[2], ""O Agriculture"")",2025,0.9484476196431393,Rest of Asia
High transition,"paste(CH[4], "" Agriculture"")",2025,2.7302294951066877,Africa
High transition,"paste(CH[4], "" Agriculture"")",2025,2.9599548093029164,China
High transition,"paste(CH[4], "" Agriculture"")",2025,2.1240500221283662,Europe
High transition,"paste(CH[4], "" Agriculture"")",2025,5.371754624412144,South Asia
High transition,"paste(CH[4], "" Agriculture"")",2025,4.653328262365742,Latin America
High transition,"paste(CH[4], "" Agriculture"")",2025,0.3175438403324069,Middle East
High transition,"paste(CH[4], "" Agriculture"")",2025,1.8939064729357462,North America
High transition,"paste(CH[4], "" Agriculture"")",2025,0.8227888486314411,Pacific OECD
High transition,"paste(CH[4], "" Agriculture"")",2025,0.8982302176561738,Reforming
High transition,"paste(CH[4], "" Agriculture"")",2025,2.5085434265157676,Rest of Asia
High transition,"paste(N[2], ""O Agriculture"")",2025,1.5640493186356694,Africa
High transition,"paste(N[2], ""O Agriculture"")",2025,2.3587847354359086,China
High transition,"paste(N[2], ""O Agriculture"")",2025,1.2674615443129111,Europe
High transition,"paste(N[2], ""O Agriculture"")",2025,1.8971394574658773,South Asia
High transition,"paste(N[2], ""O Agriculture"")",2025,1.8522857090766167,Latin America
High transition,"paste(N[2], ""O Agriculture"")",2025,0.2863096787241529,Middle East
High transition,"paste(N[2], ""O Agriculture"")",2025,2.487895847117083,North America
High transition,"paste(N[2], ""O Agriculture"")",2025,0.21040588073068528,Pacific OECD
High transition,"paste(N[2], ""O Agriculture"")",2025,0.5167922271078055,Reforming
High transition,"paste(N[2], ""O Agriculture"")",2025,0.9423587082541119,Rest of Asia
Low transition,"paste(CH[4], "" Agriculture"")",2025,2.735095281131598,Africa
Low transition,"paste(CH[4], "" Agriculture"")",2025,2.960580206423343,China
Low transition,"paste(CH[4], "" Agriculture"")",2025,2.1213004515505105,Europe
Low transition,"paste(CH[4], "" Agriculture"")",2025,5.374634240939238,South Asia
Low transition,"paste(CH[4], "" Agriculture"")",2025,4.658965632673697,Latin America
Low transition,"paste(CH[4], "" Agriculture"")",2025,0.31799239503741955,Middle East
Low transition,"paste(CH[4], "" Agriculture"")",2025,1.887518117757455,North America
Low transition,"paste(CH[4], "" Agriculture"")",2025,0.8204045110971752,Pacific OECD
Low transition,"paste(CH[4], "" Agriculture"")",2025,0.8997595458988927,Reforming
Low transition,"paste(CH[4], "" Agriculture"")",2025,2.512069607809522,Rest of Asia
Low transition,"paste(N[2], ""O Agriculture"")",2025,1.567596116005962,Africa
Low transition,"paste(N[2], ""O Agriculture"")",2025,2.360465893930114,China
Low transition,"paste(N[2], ""O Agriculture"")",2025,1.262459468957442,Europe
Low transition,"paste(N[2], ""O Agriculture"")",2025,1.8997181997813202,South Asia
Low transition,"paste(N[2], ""O Agriculture"")",2025,1.8570103966051335,Latin America
Low transition,"paste(N[2], ""O Agriculture"")",2025,0.28786471114217377,Middle East
Low transition,"paste(N[2], ""O Agriculture"")",2025,2.4683231280896023,North America
Low transition,"paste(N[2], ""O Agriculture"")",2025,0.2083031976193156,Pacific OECD
Low transition,"paste(N[2], ""O Agriculture"")",2025,0.5179078509842864,Reforming
Low transition,"paste(N[2], ""O Agriculture"")",2025,0.9436118397098646,Rest of Asia
High productivity,"paste(CH[4], "" Agriculture"")",2025,2.730426627785939,Africa
High productivity,"paste(CH[4], "" Agriculture"")",2025,2.9693048272656863,China
High productivity,"paste(CH[4], "" Agriculture"")",2025,2.127912003086408,Europe
High productivity,"paste(CH[4], "" Agriculture"")",2025,5.375842932749521,South Asia
High productivity,"paste(CH[4], "" Agriculture"")",2025,4.645768455932875,Latin America
High productivity,"paste(CH[4], "" Agriculture"")",2025,0.31749235120376673,Middle East
High productivity,"paste(CH[4], "" Agriculture"")",2025,1.8876889413000546,North America
High productivity,"paste(CH[4], "" Agriculture"")",2025,0.8161227615102096,Pacific OECD
High productivity,"paste(CH[4], "" Agriculture"")",2025,0.904902654083526,Reforming
High productivity,"paste(CH[4], "" Agriculture"")",2025,2.528986433108401,Rest of Asia
High productivity,"paste(N[2], ""O Agriculture"")",2025,1.565845737195327,Africa
High productivity,"paste(N[2], ""O Agriculture"")",2025,2.401713044617986,China
High productivity,"paste(N[2], ""O Agriculture"")",2025,1.2679651679974133,Europe
High productivity,"paste(N[2], ""O Agriculture"")",2025,1.9032023803849822,South Asia
High productivity,"paste(N[2], ""O Agriculture"")",2025,1.845227721876839,Latin America
High productivity,"paste(N[2], ""O Agriculture"")",2025,0.287474825217274,Middle East
High productivity,"paste(N[2], ""O Agriculture"")",2025,2.4570684406978116,North America
High productivity,"paste(N[2], ""O Agriculture"")",2025,0.20975850668327864,Pacific OECD
High productivity,"paste(N[2], ""O Agriculture"")",2025,0.5243807069844609,Reforming
High productivity,"paste(N[2], ""O Agriculture"")",2025,0.9501791985762326,Rest of Asia
Low productivity,"paste(CH[4], "" Agriculture"")",2025,2.7358545467158866,Africa
Low productivity,"paste(CH[4], "" Agriculture"")",2025,2.948497008799335,China
Low productivity,"paste(CH[4], "" Agriculture"")",2025,2.117119723580581,Europe
Low productivity,"paste(CH[4], "" Agriculture"")",2025,5.369257738597804,South Asia
Low productivity,"paste(CH[4], "" Agriculture"")",2025,4.668650857896628,Latin America
Low productivity,"paste(CH[4], "" Agriculture"")",2025,0.3181553438622212,Middle East
Low productivity,"paste(CH[4], "" Agriculture"")",2025,1.8943152403624244,North America
Low productivity,"paste(CH[4], "" Agriculture"")",2025,0.8281369395115077,Pacific OECD
Low productivity,"paste(CH[4], "" Agriculture"")",2025,0.8931714056696349,Reforming
Low productivity,"paste(CH[4], "" Agriculture"")",2025,2.4891392371940593,Rest of Asia
Low productivity,"paste(N[2], ""O Agriculture"")",2025,1.5661792585697136,Africa
Low productivity,"paste(N[2], ""O Agriculture"")",2025,2.3067695730561613,China
Low productivity,"paste(N[2], ""O Agriculture"")",2025,1.2623718857335442,Europe
Low productivity,"paste(N[2], ""O Agriculture"")",2025,1.8918989802145205,South Asia
Low productivity,"paste(N[2], ""O Agriculture"")",2025,1.8667878668725264,Latin America
Low productivity,"paste(N[2], ""O Agriculture"")",2025,0.28673382197562175,Middle East
Low productivity,"paste(N[2], ""O Agriculture"")",2025,2.503123511463551,North America
Low productivity,"paste(N[2], ""O Agriculture"")",2025,0.20908648392285087,Pacific OECD
Low productivity,"paste(N[2], ""O Agriculture"")",2025,0.5102144319165737,Reforming
Low productivity,"paste(N[2], ""O Agriculture"")",2025,0.9343561993443945,Rest of Asia
Static,"paste(CH[4], "" Agriculture"")",2025,2.7384571550049825,Africa
Static,"paste(CH[4], "" Agriculture"")",2025,2.924837840485483,China
Static,"paste(CH[4], "" Agriculture"")",2025,2.125169027602464,Europe
Static,"paste(CH[4], "" Agriculture"")",2025,5.356901492802125,South Asia
Static,"paste(CH[4], "" Agriculture"")",2025,4.6736411930031,Latin America
Static,"paste(CH[4], "" Agriculture"")",2025,0.32113705334449166,Middle East
Static,"paste(CH[4], "" Agriculture"")",2025,1.9134833705019185,North America
Static,"paste(CH[4], "" Agriculture"")",2025,0.8274177244845791,Pacific OECD
Static,"paste(CH[4], "" Agriculture"")",2025,0.8815711935082038,Reforming
Static,"paste(CH[4], "" Agriculture"")",2025,2.4494335139057855,Rest of Asia
Static,"paste(N[2], ""O Agriculture"")",2025,1.5637332411035385,Africa
Static,"paste(N[2], ""O Agriculture"")",2025,2.222294524213742,China
